subscriber_id,usage_minutes,data_gb,sms_count,cost,billing_date
CUST8875,324.83570765056163,4.72347139765763,23,66.91,2025-05-16
CUST4603,288.293152152541,8.158425631014783,25,104.84,2025-05-31
CUST7054,276.8291153593769,4.068540492859486,17,317.22,2025-05-29
CUST5851,271.88562353795135,2.9743377593311524,17,48.31,2025-05-18
CUST9660,373.2824384460777,4.548447399026928,16,64.63,2025-06-04
CUST6369,305.5461294854933,2.6980128451553944,17,47.54,2025-06-17
CUST2273,269.91466938853017,8.704556369017876,14,361.83,2025-05-26
CUST8905,238.9578175014489,5.4177271900095105,21,60.53,2025-05-17
CUST2298,336.92332899977055,5.342736562379941,13,361.4,2025-06-14
CUST4433,284.9448152205356,2.0429560192651453,25,36.08,2025-05-12
CUST4334,317.18091447842306,1.473919689274532,24,40.55,2025-05-05
CUST6855,346.56400595580993,3.3215649535547227,26,54.2,2025-06-21
CUST9634,276.0412881077355,4.628682046672366,17,296.73,2025-05-14
CUST3221,367.8120014285412,4.855979756839332,14,74.77,2025-05-14
CUST9081,318.0697802754207,8.076073132931938,24,88.37,2025-05-18
CUST6116,341.0951252187612,5.174094136476342,17,70.7,2025-06-03
CUST9302,289.0164056081244,5.7142251430234925,19,71.35,2025-06-24
CUST2234,274.91214782077316,6.830804235404148,24,88.5,2025-05-23
CUST8789,304.853877467402,6.937289981065779,17,86.06,2025-06-21
CUST4068,226.82425259339408,5.592240554129152,19,72.37,2025-06-12
CUST2388,282.8642741736615,3.395445461556762,29,63.33,2025-06-09
CUST7517,308.72889064159193,5.515100781445529,32,76.62,2025-05-26
CUST9575,204.06143923504794,4.946972249101567,17,63.37,2025-05-18
CUST6220,423.1621056242643,4.615278070437755,14,71.62,2025-06-02
CUST3165,357.14114072575103,6.503866065373549,16,93.11,2025-05-31
CUST4069,229.90744686038596,6.173714187600541,13,86.78,2025-05-07
CUST4521,250.4731837434656,3.867404540794456,22,47.84,2025-05-08
CUST9940,303.42814874030137,2.8753925725477902,23,50.89,2025-06-24
CUST4797,260.83733538318813,4.355876967588649,17,61.14,2025-06-16
CUST8058,365.3571377141214,1.785033530877545,27,320.23,2025-05-25
CUST2681,238.1524644560959,2.3590867738314474,26,37.3,2025-06-19
CUST2952,311.61268485805016,5.586144946597362,21,72.07,2025-06-22
CUST9667,240.43482513986757,6.313107217267659,23,85.55,2025-05-13
CUST1533,258.9658840824145,6.926752258488643,22,88.68,2025-05-11
CUST6084,287.73059419985645,3.492527671285021,17,52.33,2025-05-16
CUST8981,317.0575987408322,5.553381598660038,24,80.32,2025-06-02
CUST2512,286.7671583381022,10.440338333179238,15,116.39,2025-06-04
CUST8942,324.12362076215925,4.553074429348298,17,68.71,2025-06-20
CUST9961,277.67425239664897,6.712797588646945,15,84.88,2025-05-25
CUST3615,319.26586898644183,3.2322851275977342,14,51.85,2025-05-22
