subscriber_id,usage_minutes,data_gb,sms_count,cost,billing_date
CUST7617,268.89,6.28,33,77.46,2025-05-31
CUST9843,344.51,8.16,23,100.78,2025-05-31
CUST5454,355.41,3.84,16,66.52,2025-05-31
CUST5367,282.36,1.95,18,38.33,2025-05-31
CUST1553,287.59,4.96,24,72.21,2025-05-31
CUST7233,290.82,2.99,27,49.35,2025-05-31
CUST5965,354.06,6.28,20,69.89,2025-05-31
CUST3277,371.48,4.46,23,71.08,2025-05-31
CUST6824,276.6,5.06,20,65.52,2025-05-31
CUST8169,279.69,4.74,29,66.04,2025-05-31
CUST7827,279.4,2.86,25,54.99,2025-05-31
CUST5671,285.04,6.5,27,85.83,2025-05-31
CUST8839,278.26,4.04,21,59.78,2025-05-31
CUST6595,387.54,4.08,21,59.24,2025-05-31
CUST3870,221.67,5.06,24,68.84,2025-05-31
CUST7597,301.78,2.94,23,50.77,2025-05-31
CUST8076,266.72,5.87,16,73.14,2025-05-31
CUST8805,356.2,4.06,24,60.87,2025-05-31
CUST8311,324.68,3.89,24,50.58,2025-05-31
CUST1402,333.75,7.37,20,77.5,2025-05-31
CUST5413,321.9,4.15,24,63.01,2025-05-31
CUST7218,264.15,8.56,22,103.22,2025-05-31
CUST9880,220.18,3.48,22,51.16,2025-05-31
CUST6686,320.59,6.9,19,96.3,2025-05-31
CUST8155,269.99,4.8,24,64.31,2025-05-31
CUST2483,287.97,4.68,17,63.43,2025-05-31
CUST8649,303.48,6.2,28,79.11,2025-05-31
CUST4163,245.19,4.3,24,56.99,2025-05-31
CUST8481,283.94,2.29,25,45.47,2025-05-31
CUST5196,342.16,5.64,30,78.68,2025-05-31
CUST3167,329.34,4.71,15,66.76,2025-05-31
CUST5083,328.03,5.47,17,68.11,2025-05-31
CUST4793,317.78,3.39,22,58.19,2025-05-31
CUST5656,414.64,3.16,23,59.08,2025-05-31
CUST5254,397.38,3.54,21,69.66,2025-05-31
CUST8070,347.64,2.98,23,59.08,2025-05-31
CUST2152,351.92,8.32,22,7.96,2025-05-31
CUST5290,258.74,2.2,31,43.67,2025-05-31
CUST8547,338.98,7.39,20,87.96,2025-05-31
CUST7662,386.13,4.93,31,78.43,2025-05-31
CUST4568,346.99,7.71,25,99.33,2025-05-31
CUST8572,414.38,3.12,29,63.61,2025-05-31
CUST7663,326.61,5.39,27,76.93,2025-05-31
CUST1745,232.87,7.23,17,92.53,2025-05-31
CUST7046,260.44,1.04,18,18.4,2025-05-31
CUST4385,372.84,6.33,20,84.26,2025-05-31
CUST4306,354.93,3.41,20,60.7,2025-05-31
CUST1290,271.45,2.04,27,37.67,2025-05-31
CUST2292,288.07,7.52,28,95.16,2025-05-31
CUST9389,372.7,2.48,26,49.25,2025-05-31
CUST6000,384.04,4.79,23,63.41,2025-05-31
CUST1509,390.4,3.85,18,269.24,2025-05-31
CUST3439,345.96,4.47,15,69.33,2025-05-31
CUST6006,356.98,4.37,27,73.33,2025-05-31
CUST8269,303.89,6.35,23,81.95,2025-05-31
CUST1163,316.87,5.01,18,70.2,2025-05-31
CUST4761,337.55,7.26,20,89.75,2025-05-31
CUST1719,254.49,3.84,22,60.72,2025-05-31
CUST8093,292.88,6.4,21,71.21,2025-05-31
CUST7143,255.81,3.26,22,57.16,2025-05-31
CUST8193,340.07,5.61,22,79.41,2025-05-31
